""
"Test Method","MTS EM Tension.msm"
"Sample I. D.","DIC.mss"
"Specimen Number","3"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

40.953,2.000,-0.133,13.743,-0.003
67.803,3.000,-0.130,22.754,-0.003
102.618,4.000,-0.127,34.437,-0.002
140.014,5.000,-0.123,46.986,-0.002
167.304,6.000,-0.120,56.144,-0.002
190.647,7.000,-0.117,63.978,-0.002
200.647,8.000,-0.113,67.333,-0.002
202.472,9.000,-0.110,67.946,-0.002
204.150,10.000,-0.107,68.509,-0.002
208.381,11.000,-0.104,69.929,-0.002
209.997,12.000,-0.099,70.471,-0.002
210.096,13.000,-0.097,70.504,-0.002
212.267,14.000,-0.094,71.233,-0.002
215.819,15.000,-0.090,72.425,-0.002
216.707,16.000,-0.086,72.723,-0.002
217.990,17.000,-0.083,73.154,-0.002
219.396,18.000,-0.080,73.625,-0.002
221.728,19.000,-0.076,74.408,-0.002
221.814,20.000,-0.073,74.437,-0.001
223.035,21.000,-0.070,74.847,-0.001
224.799,22.000,-0.067,75.439,-0.001
225.034,23.000,-0.063,75.517,-0.001
225.539,24.000,-0.060,75.687,-0.001
225.527,25.000,-0.057,75.683,-0.001
226.058,26.000,-0.054,75.861,-0.001
223.973,27.000,-0.050,75.161,-0.001
224.158,28.000,-0.047,75.223,-0.001
224.355,29.000,-0.044,75.290,-0.001
225.786,30.000,-0.040,75.770,-0.001
223.936,31.000,-0.037,75.149,-0.001
223.319,32.000,-0.034,74.942,-0.001
225.243,33.000,-0.030,75.588,-0.001
226.206,34.000,-0.026,75.910,-0.001
226.132,35.000,-0.023,75.886,-0.000
227.575,36.000,-0.020,76.370,-0.000
229.043,37.000,-0.016,76.863,-0.000
231.164,38.000,-0.013,77.575,-0.000
235.062,39.000,-0.010,78.883,-0.000
245.930,40.000,-0.007,82.530,-0.000
259.881,41.000,-0.003,87.211,-0.000
268.072,42.000,0.000,89.960,0.000
275.115,43.000,0.003,92.324,0.000
284.058,44.000,0.006,95.325,0.000
292.940,45.000,0.010,98.305,0.000
298.232,46.000,0.013,100.081,0.000
305.251,47.000,0.016,102.436,0.000
314.009,48.000,0.020,105.376,0.000
