""
"Test Method","MTS EM Tension.msm"
"Sample I. D.","DIC.mss"
"Specimen Number","5"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

61.307,2.000,0.035,20.783,0.001
96.709,3.000,0.038,32.785,0.001
129.904,4.000,0.041,44.038,0.001
167.008,5.000,0.044,56.617,0.001
212.143,6.000,0.049,71.918,0.001
240.564,7.000,0.052,81.553,0.001
265.333,8.000,0.054,89.950,0.001
298.429,9.000,0.058,101.169,0.001
324.198,10.000,0.062,109.905,0.001
343.034,11.000,0.065,116.290,0.001
361.290,12.000,0.068,122.479,0.001
386.762,13.000,0.072,131.115,0.001
399.246,14.000,0.075,135.347,0.001
412.716,15.000,0.078,139.913,0.002
426.359,16.000,0.081,144.538,0.002
442.494,17.000,0.085,150.008,0.002
450.610,18.000,0.088,152.760,0.002
460.627,19.000,0.091,156.155,0.002
477.057,20.000,0.095,161.725,0.002
488.245,21.000,0.098,165.518,0.002
497.065,22.000,0.101,168.508,0.002
507.254,23.000,0.104,171.962,0.002
522.316,24.000,0.108,177.068,0.002
531.098,25.000,0.111,180.046,0.002
540.276,26.000,0.114,183.157,0.002
552.007,27.000,0.118,187.134,0.002
564.095,28.000,0.122,191.232,0.002
572.113,29.000,0.125,193.950,0.002
582.475,30.000,0.128,197.463,0.003
595.797,31.000,0.132,201.979,0.003
604.383,32.000,0.135,204.889,0.003
614.325,33.000,0.138,208.260,0.003
624.477,34.000,0.141,211.701,0.003
637.935,35.000,0.145,216.264,0.003
644.769,36.000,0.148,218.580,0.003
654.884,37.000,0.151,222.009,0.003
668.502,38.000,0.155,226.626,0.003
679.024,39.000,0.159,230.193,0.003
686.277,40.000,0.161,232.652,0.003
694.973,41.000,0.164,235.600,0.003
707.963,42.000,0.168,240.004,0.003
716.758,43.000,0.172,242.985,0.003
725.590,44.000,0.174,245.979,0.003
734.780,45.000,0.177,249.095,0.003
748.299,46.000,0.182,253.678,0.004
754.010,47.000,0.185,255.614,0.004
763.262,48.000,0.188,258.750,0.004
773.414,49.000,0.191,262.192,0.004
784.614,50.000,0.195,265.989,0.004
792.225,51.000,0.198,268.569,0.004
799.861,52.000,0.201,271.158,0.004
813.936,53.000,0.205,275.929,0.004
821.189,54.000,0.208,278.388,0.004
829.207,55.000,0.211,281.106,0.004
837.718,56.000,0.214,283.991,0.004
850.325,57.000,0.219,288.265,0.004
856.443,58.000,0.222,290.339,0.004
864.930,59.000,0.224,293.216,0.004
875.958,60.000,0.228,296.955,0.004
886.961,61.000,0.232,300.685,0.005
894.115,62.000,0.235,303.110,0.005
900.061,63.000,0.237,305.126,0.005
914.000,64.000,0.241,309.851,0.005
921.006,65.000,0.245,312.227,0.005
928.605,66.000,0.248,314.803,0.005
937.301,67.000,0.251,317.751,0.005
949.970,68.000,0.255,322.045,0.005
956.902,69.000,0.258,324.396,0.005
965.253,70.000,0.261,327.227,0.005
