""
"Test Method","March2014 Tensile - With Extensometer.msm"
"Sample I. D.","Tensile_5.mss"
"Specimen Number","2"

"Time (s)","Load (kN)","Extension (mm)","Stress (MPa)","Strain1 (mm)"

0.600,0.042,0.001,12.438,0.001
1.000,0.050,0.002,14.855,0.002
1.400,0.055,0.002,16.452,0.002
1.800,0.062,0.002,18.290,0.002
2.200,0.064,0.002,19.118,0.002
2.600,0.071,0.003,21.205,0.003
3.000,0.072,0.002,21.279,0.003
3.400,0.079,0.002,23.410,0.002
3.800,0.083,0.002,24.773,0.002
4.200,0.091,0.003,26.999,0.003
4.600,0.097,0.003,28.757,0.003
5.000,0.102,0.003,30.369,0.003
5.400,0.112,0.003,33.108,0.003
5.800,0.118,0.003,35.075,0.003
6.200,0.131,0.004,38.920,0.004
6.600,0.136,0.004,40.367,0.005
7.000,0.148,0.003,43.934,0.003
7.400,0.155,0.005,46.122,0.005
7.800,0.166,0.004,49.355,0.004
8.200,0.175,0.004,52.006,0.005
8.600,0.184,0.004,54.698,0.005
9.000,0.193,0.005,57.419,0.005
9.400,0.203,0.005,60.356,0.005
9.800,0.215,0.006,63.828,0.006
10.200,0.223,0.005,66.136,0.006
10.600,0.236,0.006,69.959,0.006
11.000,0.240,0.006,71.322,0.007
11.400,0.254,0.006,75.533,0.007
11.800,0.260,0.007,77.130,0.007
12.200,0.273,0.007,80.932,0.007
12.600,0.279,0.007,82.902,0.007
13.000,0.291,0.008,86.389,0.008
13.400,0.301,0.008,89.443,0.008
13.800,0.312,0.008,92.549,0.008
14.200,0.325,0.007,96.380,0.007
14.600,0.335,0.009,99.500,0.009
15.000,0.350,0.009,103.880,0.009
15.400,0.355,0.010,105.372,0.010
15.800,0.371,0.010,110.151,0.010
16.200,0.380,0.010,112.956,0.011
16.600,0.397,0.010,117.761,0.010
17.000,0.406,0.008,120.658,0.008
17.400,0.421,0.011,124.898,0.011
17.800,0.432,0.012,128.177,0.012
18.200,0.444,0.012,131.876,0.012
18.600,0.458,0.012,136.110,0.012
19.000,0.465,0.012,138.142,0.013
19.400,0.482,0.012,143.090,0.012
19.800,0.486,0.013,144.240,0.013
20.200,0.501,0.013,148.804,0.013
20.600,0.509,0.014,151.111,0.014
21.000,0.523,0.013,155.396,0.014
21.400,0.534,0.014,158.633,0.014
21.800,0.548,0.014,162.647,0.014
22.200,0.563,0.013,167.020,0.013
22.600,0.574,0.015,170.375,0.015
23.000,0.593,0.016,175.957,0.016
23.400,0.569,0.015,169.064,0.015
23.800,0.564,0.015,167.518,0.015
24.200,0.561,0.015,166.449,0.015
24.600,0.557,0.015,165.387,0.015
25.000,0.557,0.015,165.482,0.015
25.400,0.555,0.015,164.750,0.015
25.800,0.554,0.015,164.383,0.015
26.200,0.553,0.014,164.076,0.015
26.600,0.552,0.014,163.761,0.014
27.000,0.551,0.014,163.636,0.014
27.400,0.551,0.014,163.446,0.015
27.800,0.550,0.014,163.230,0.014
28.200,0.550,0.014,163.167,0.015
28.600,0.549,0.014,162.889,0.014
29.000,0.548,0.014,162.618,0.014
29.400,0.548,0.014,162.706,0.015
29.800,0.548,0.014,162.603,0.014
30.200,0.547,0.014,162.523,0.014
30.600,0.547,0.014,162.420,0.015
31.000,0.547,0.014,162.413,0.014
31.400,0.547,0.014,162.310,0.014
31.800,0.546,0.014,162.135,0.014
32.200,0.546,0.014,162.105,0.014
32.600,0.546,0.014,162.098,0.014
33.000,0.546,0.014,162.142,0.014
33.400,0.546,0.014,162.032,0.014
33.800,0.545,0.014,161.937,0.015
34.200,0.545,0.014,161.757,0.014
34.600,0.544,0.014,161.534,0.014
35.000,0.544,0.014,161.439,0.014
35.400,0.544,0.014,161.611,0.014
35.800,0.543,0.014,161.204,0.014
36.200,0.543,0.014,161.204,0.014
36.600,0.543,0.014,161.300,0.014
37.000,0.543,0.014,161.351,0.014
37.400,0.543,0.014,161.160,0.014
37.800,0.543,0.014,161.073,0.014
38.200,0.543,0.014,161.311,0.014
38.600,0.543,0.014,161.109,0.014
39.000,0.542,0.014,160.867,0.014
39.400,0.542,0.014,160.999,0.014
39.800,0.542,0.014,160.846,0.014
40.200,0.542,0.014,160.926,0.014
40.600,0.541,0.014,160.655,0.014
41.000,0.541,0.014,160.699,0.014
41.400,0.541,0.014,160.772,0.014
