

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.00E+00  0.00E+00  0.98E+00
              2      0.27E+00  0.78E+03  0.00E+00  0.16E+00
              3      0.24E+00  0.67E+03  0.28E-03  0.17E+00
              4      0.22E+00  0.58E+03  0.32E-03  0.19E+00
              5      0.19E+00  0.49E+03  0.23E-03  0.21E+00
              6      0.17E+00  0.41E+03  0.27E-03  0.23E+00
              7      0.14E+00  0.34E+03  0.36E-03  0.26E+00
              8      0.12E+00  0.27E+03  0.28E-03  0.30E+00
              9      0.97E-01  0.22E+03  0.32E-03  0.34E+00
             10      0.78E-01  0.17E+03  0.43E-03  0.39E+00
             11      0.60E-01  0.13E+03  0.32E-03  0.45E+00
             12      0.45E-01  0.94E+02  0.24E-03  0.53E+00
             13      0.32E-01  0.67E+02  0.43E-03  0.61E+00
             14      0.22E-01  0.44E+02  0.32E-03  0.70E+00
             15      0.14E-01  0.28E+02  0.33E-03  0.78E+00
             16      0.90E-02  0.16E+02  0.26E-03  0.85E+00
             17      0.60E-02  0.90E+01  0.46E-03  0.89E+00
             18      0.43E-02  0.53E+01  0.24E-03  0.92E+00
             19      0.34E-02  0.36E+01  0.35E-03  0.94E+00
             20      0.29E-02  0.29E+01  0.22E-03  0.95E+00

     Power:  0.23250E+06


                         Increment number   2
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.54E-02  0.56E+01  0.36E-03  0.90E+00
              2      0.48E-02  0.50E+01  0.21E-03  0.91E+00
              3      0.43E-02  0.46E+01  0.23E-03  0.92E+00
              4      0.39E-02  0.42E+01  0.26E-03  0.93E+00
              5      0.35E-02  0.39E+01  0.26E-03  0.93E+00
              6      0.32E-02  0.36E+01  0.36E-03  0.94E+00
              7      0.30E-02  0.33E+01  0.35E-03  0.94E+00
              8      0.28E-02  0.31E+01  0.39E-03  0.95E+00
              9      0.27E-02  0.29E+01  0.37E-03  0.95E+00
             10      0.27E-02  0.28E+01  0.51E-03  0.95E+00
             11      0.26E-02  0.26E+01  0.53E-03  0.95E+00
             12      0.26E-02  0.26E+01  0.51E-03  0.95E+00
             13      0.26E-02  0.25E+01  0.47E-03  0.95E+00
             14      0.26E-02  0.24E+01  0.42E-03  0.95E+00
             15      0.26E-02  0.24E+01  0.38E-03  0.95E+00
             16      0.26E-02  0.23E+01  0.34E-03  0.95E+00
             17      0.26E-02  0.23E+01  0.32E-03  0.95E+00
             18      0.26E-02  0.23E+01  0.30E-03  0.95E+00
             19      0.26E-02  0.23E+01  0.28E-03  0.95E+00
             20      0.26E-02  0.22E+01  0.27E-03  0.95E+00

     Power:  0.46484E+06


                         Increment number   3
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.51E-02  0.48E+01  0.17E-03  0.91E+00
              2      0.50E-02  0.44E+01  0.47E-03  0.91E+00
              3      0.49E-02  0.42E+01  0.51E-03  0.91E+00
              4      0.48E-02  0.40E+01  0.43E-03  0.91E+00
              5      0.46E-02  0.38E+01  0.37E-03  0.92E+00
              6      0.44E-02  0.36E+01  0.33E-03  0.92E+00
              7      0.43E-02  0.35E+01  0.30E-03  0.92E+00
              8      0.41E-02  0.34E+01  0.28E-03  0.92E+00
              9      0.40E-02  0.33E+01  0.29E-03  0.93E+00
             10      0.39E-02  0.31E+01  0.27E-03  0.93E+00
             11      0.38E-02  0.30E+01  0.26E-03  0.93E+00
             12      0.36E-02  0.30E+01  0.24E-03  0.93E+00
             13      0.36E-02  0.29E+01  0.23E-03  0.93E+00
             14      0.35E-02  0.28E+01  0.22E-03  0.94E+00
             15      0.34E-02  0.28E+01  0.21E-03  0.94E+00
             16      0.33E-02  0.27E+01  0.20E-03  0.94E+00
             17      0.32E-02  0.26E+01  0.19E-03  0.94E+00
             18      0.32E-02  0.26E+01  0.19E-03  0.94E+00
             19      0.31E-02  0.26E+01  0.18E-03  0.94E+00
             20      0.31E-02  0.25E+01  0.18E-03  0.94E+00

     Power:  0.69706E+06


                         Increment number   4
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.36E-02  0.31E+01  0.13E-03  0.93E+00
              2      0.35E-02  0.29E+01  0.18E-03  0.93E+00
              3      0.34E-02  0.28E+01  0.17E-03  0.94E+00
              4      0.33E-02  0.27E+01  0.16E-03  0.94E+00
              5      0.32E-02  0.26E+01  0.16E-03  0.94E+00
              6      0.32E-02  0.26E+01  0.15E-03  0.94E+00
              7      0.31E-02  0.25E+01  0.14E-03  0.94E+00
              8      0.30E-02  0.25E+01  0.14E-03  0.94E+00
              9      0.30E-02  0.24E+01  0.14E-03  0.94E+00
             10      0.29E-02  0.24E+01  0.13E-03  0.95E+00
             11      0.28E-02  0.23E+01  0.13E-03  0.95E+00
             12      0.28E-02  0.23E+01  0.13E-03  0.95E+00
             13      0.27E-02  0.23E+01  0.12E-03  0.95E+00
             14      0.27E-02  0.22E+01  0.12E-03  0.95E+00
             15      0.27E-02  0.22E+01  0.12E-03  0.95E+00
             16      0.26E-02  0.21E+01  0.12E-03  0.95E+00
             17      0.26E-02  0.21E+01  0.11E-03  0.95E+00
             18      0.25E-02  0.21E+01  0.11E-03  0.95E+00
             19      0.25E-02  0.21E+01  0.11E-03  0.95E+00
