

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.00E+00  0.00E+00  0.98E+00
              2      0.46E+00  0.18E+03  0.00E+00  0.98E-01
              3      0.43E+00  0.17E+03  0.84E+11  0.10E+00
              4      0.40E+00  0.16E+03  0.12E+12  0.11E+00
              5      0.38E+00  0.15E+03  0.14E+12  0.12E+00
              6      0.35E+00  0.14E+03  0.14E+12  0.12E+00
              7      0.33E+00  0.13E+03  0.14E+12  0.13E+00
              8      0.30E+00  0.12E+03  0.13E+12  0.14E+00
              9      0.28E+00  0.11E+03  0.11E+12  0.15E+00
             10      0.26E+00  0.10E+03  0.94E+11  0.16E+00
             11      0.24E+00  0.93E+02  0.75E+11  0.17E+00
             12      0.22E+00  0.86E+02  0.57E+11  0.18E+00
             13      0.21E+00  0.79E+02  0.42E+11  0.19E+00
             14      0.19E+00  0.73E+02  0.30E+11  0.21E+00
             15      0.18E+00  0.67E+02  0.20E+11  0.22E+00
             16      0.16E+00  0.62E+02  0.13E+11  0.23E+00
             17      0.15E+00  0.58E+02  0.87E+10  0.25E+00
             18      0.14E+00  0.54E+02  0.55E+10  0.26E+00
             19      0.13E+00  0.51E+02  0.34E+10  0.28E+00
             20      0.12E+00  0.48E+02  0.20E+10  0.29E+00

     Power:  0.37510E+06


                         Increment number   2
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.23E+00  0.90E+02  0.59E+09  0.18E+00
              2      0.22E+00  0.86E+02  0.34E+09  0.19E+00
              3      0.20E+00  0.83E+02  0.19E+09  0.20E+00
              4      0.19E+00  0.80E+02  0.10E+09  0.21E+00
              5      0.18E+00  0.78E+02  0.53E+08  0.22E+00
              6      0.17E+00  0.77E+02  0.27E+08  0.23E+00
              7      0.16E+00  0.75E+02  0.14E+08  0.24E+00
              8      0.15E+00  0.74E+02  0.70E+07  0.25E+00
              9      0.14E+00  0.74E+02  0.35E+07  0.26E+00
             10      0.13E+00  0.73E+02  0.17E+07  0.27E+00
             11      0.13E+00  0.73E+02  0.84E+06  0.28E+00
             12      0.12E+00  0.73E+02  0.41E+06  0.30E+00
             13      0.11E+00  0.74E+02  0.19E+06  0.31E+00
             14      0.11E+00  0.75E+02  0.93E+05  0.32E+00
             15      0.10E+00  0.77E+02  0.44E+05  0.33E+00
             16      0.94E-01  0.80E+02  0.20E+05  0.35E+00
             17      0.88E-01  0.83E+02  0.95E+04  0.36E+00
             18      0.83E-01  0.87E+02  0.44E+04  0.38E+00
             19      0.78E-01  0.92E+02  0.20E+04  0.39E+00
             20      0.74E-01  0.98E+02  0.91E+03  0.40E+00

     Power:  0.31872E+06


                         Increment number   3
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.86E-01  0.15E+03  0.21E+03  0.37E+00
              2      0.82E-01  0.13E+03  0.10E+03  0.38E+00
              3      0.78E-01  0.14E+03  0.49E+02  0.39E+00
              4      0.74E-01  0.16E+03  0.23E+02  0.40E+00
              5      0.69E-01  0.18E+03  0.10E+02  0.42E+00
              6      0.65E-01  0.21E+03  0.46E+01  0.44E+00
              7      0.60E-01  0.25E+03  0.20E+01  0.45E+00
              8      0.55E-01  0.28E+03  0.88E+00  0.48E+00
              9      0.50E-01  0.32E+03  0.36E+00  0.50E+00
             10      0.45E-01  0.36E+03  0.14E+00  0.53E+00
             11      0.40E-01  0.40E+03  0.43E-01  0.55E+00
             12      0.36E-01  0.37E+03  0.86E-02  0.58E+00
             13      0.32E-01  0.30E+03  0.56E-03  0.61E+00
             14      0.29E-01  0.14E+03  0.26E-03  0.63E+00
             15      0.27E-01  0.55E+02  0.29E-03  0.65E+00
             16      0.24E-01  0.25E+02  0.26E-03  0.67E+00
             17      0.22E-01  0.17E+02  0.34E-03  0.69E+00
             18      0.20E-01  0.15E+02  0.30E-03  0.71E+00
             19      0.19E-01  0.14E+02  0.27E-03  0.73E+00
             20      0.17E-01  0.13E+02  0.25E-03  0.75E+00

     Power:  0.41510E+06


                         Increment number   4
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.20E-01  0.91E+02  0.27E-03  0.71E+00
              2      0.19E-01  0.29E+02  0.35E-03  0.73E+00
              3      0.17E-01  0.15E+02  0.34E-03  0.74E+00
              4      0.16E-01  0.12E+02  0.30E-03  0.76E+00
              5      0.15E-01  0.11E+02  0.30E-03  0.77E+00
              6      0.14E-01  0.99E+01  0.29E-03  0.78E+00
              7      0.13E-01  0.91E+01  0.31E-03  0.80E+00
              8      0.12E-01  0.83E+01  0.35E-03  0.81E+00
              9      0.11E-01  0.76E+01  0.38E-03  0.82E+00
             10      0.10E-01  0.69E+01  0.38E-03  0.83E+00
             11      0.92E-02  0.63E+01  0.40E-03  0.84E+00
             12      0.85E-02  0.58E+01  0.42E-03  0.86E+00
             13      0.77E-02  0.52E+01  0.41E-03  0.87E+00
             14      0.71E-02  0.48E+01  0.38E-03  0.88E+00
             15      0.65E-02  0.43E+01  0.34E-03  0.89E+00
             16      0.59E-02  0.39E+01  0.30E-03  0.89E+00
             17      0.54E-02  0.35E+01  0.27E-03  0.90E+00
             18      0.49E-02  0.32E+01  0.25E-03  0.91E+00
             19      0.44E-02  0.29E+01  0.23E-03  0.92E+00
