

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.00E+00  0.00E+00  0.98E+00
              2      0.46E+00  0.16E+00  0.00E+00  0.98E-01
              3      0.43E+00  0.15E+00  0.37E+16  0.10E+00
              4      0.40E+00  0.14E+00  0.58E+16  0.11E+00
              5      0.38E+00  0.13E+00  0.73E+16  0.12E+00
              6      0.35E+00  0.12E+00  0.85E+16  0.12E+00
              7      0.33E+00  0.12E+00  0.93E+16  0.13E+00
              8      0.30E+00  0.11E+00  0.97E+16  0.14E+00
              9      0.28E+00  0.99E-01  0.96E+16  0.15E+00
             10      0.26E+00  0.92E-01  0.90E+16  0.16E+00
             11      0.24E+00  0.85E-01  0.82E+16  0.17E+00
             12      0.22E+00  0.78E-01  0.71E+16  0.18E+00
             13      0.21E+00  0.72E-01  0.59E+16  0.20E+00
             14      0.19E+00  0.66E-01  0.47E+16  0.21E+00
             15      0.18E+00  0.61E-01  0.36E+16  0.22E+00
             16      0.16E+00  0.57E-01  0.26E+16  0.24E+00
             17      0.15E+00  0.53E-01  0.19E+16  0.25E+00
             18      0.14E+00  0.50E-01  0.13E+16  0.26E+00
             19      0.13E+00  0.47E-01  0.86E+15  0.28E+00
             20      0.12E+00  0.45E-01  0.56E+15  0.30E+00

     Power:   14.965    


                         Increment number   2
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.23E+00  0.84E-01  0.18E+15  0.18E+00
              2      0.21E+00  0.79E-01  0.11E+15  0.19E+00
              3      0.20E+00  0.76E-01  0.66E+14  0.20E+00
              4      0.19E+00  0.74E-01  0.37E+14  0.21E+00
              5      0.18E+00  0.72E-01  0.21E+14  0.22E+00
              6      0.17E+00  0.71E-01  0.11E+14  0.23E+00
              7      0.16E+00  0.70E-01  0.61E+13  0.24E+00
              8      0.15E+00  0.69E-01  0.32E+13  0.25E+00
              9      0.14E+00  0.69E-01  0.17E+13  0.26E+00
             10      0.13E+00  0.70E-01  0.88E+12  0.27E+00
             11      0.13E+00  0.71E-01  0.46E+12  0.28E+00
             12      0.12E+00  0.72E-01  0.23E+12  0.30E+00
             13      0.11E+00  0.74E-01  0.12E+12  0.31E+00
             14      0.11E+00  0.77E-01  0.59E+11  0.32E+00
             15      0.10E+00  0.79E-01  0.30E+11  0.33E+00
             16      0.94E-01  0.83E-01  0.15E+11  0.35E+00
             17      0.89E-01  0.87E-01  0.71E+10  0.36E+00
             18      0.84E-01  0.90E-01  0.34E+10  0.37E+00
             19      0.80E-01  0.94E-01  0.16E+10  0.39E+00
             20      0.75E-01  0.98E-01  0.78E+09  0.40E+00

     Power:   12.710    


                         Increment number   3
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.92E-01  0.15E+00  0.18E+09  0.35E+00
              2      0.89E-01  0.13E+00  0.96E+08  0.36E+00
              3      0.85E-01  0.13E+00  0.47E+08  0.37E+00
              4      0.82E-01  0.13E+00  0.23E+08  0.38E+00
              5      0.79E-01  0.15E+00  0.11E+08  0.39E+00
              6      0.76E-01  0.16E+00  0.48E+07  0.40E+00
              7      0.72E-01  0.17E+00  0.22E+07  0.41E+00
              8      0.69E-01  0.19E+00  0.98E+06  0.42E+00
              9      0.66E-01  0.20E+00  0.44E+06  0.43E+00
             10      0.63E-01  0.21E+00  0.19E+06  0.44E+00
             11      0.60E-01  0.23E+00  0.85E+05  0.45E+00
             12      0.57E-01  0.24E+00  0.37E+05  0.47E+00
             13      0.54E-01  0.26E+00  0.16E+05  0.48E+00
             14      0.52E-01  0.27E+00  0.70E+04  0.49E+00
             15      0.49E-01  0.29E+00  0.30E+04  0.51E+00
             16      0.46E-01  0.31E+00  0.13E+04  0.52E+00
             17      0.44E-01  0.34E+00  0.56E+03  0.53E+00
             18      0.41E-01  0.36E+00  0.24E+03  0.55E+00
             19      0.38E-01  0.39E+00  0.10E+03  0.57E+00
             20      0.36E-01  0.42E+00  0.43E+02  0.58E+00

     Power:   8.6932    


                         Increment number   4
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.24E-01  0.70E+00  0.92E+01  0.68E+00
              2      0.22E-01  0.57E+00  0.44E+01  0.69E+00
              3      0.20E-01  0.66E+00  0.20E+01  0.71E+00
              4      0.17E-01  0.77E+00  0.86E+00  0.75E+00
              5      0.13E-01  0.90E+00  0.35E+00  0.79E+00
              6      0.13E-01  0.10E+01  0.14E+00  0.80E+00
              7      0.18E-01  0.12E+01  0.44E-01  0.74E+00
              8      0.25E-01  0.11E+01  0.98E-02  0.67E+00
              9      0.24E-01  0.92E+00  0.10E-02  0.67E+00
             10      0.17E-01  0.45E+00  0.25E-03  0.74E+00
             11      0.12E-01  0.12E+00  0.26E-03  0.81E+00
             12      0.86E-02  0.24E-01  0.28E-03  0.85E+00
             13      0.62E-02  0.70E-02  0.31E-03  0.89E+00
             14      0.46E-02  0.44E-02  0.28E-03  0.92E+00
             15      0.35E-02  0.32E-02  0.28E-03  0.94E+00
             16      0.26E-02  0.24E-02  0.34E-03  0.95E+00
             17      0.20E-02  0.18E-02  0.31E-03  0.96E+00
             18      0.16E-02  0.14E-02  0.22E-03  0.97E+00
             19      0.13E-02  0.11E-02  0.20E-03  0.97E+00
