

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.00E+00  0.00E+00  0.98E+00
              2      0.45E+00  0.19E+01  0.00E+00  0.10E+00
              3      0.42E+00  0.18E+01  0.16E+01  0.11E+00
              4      0.39E+00  0.17E+01  0.12E+01  0.11E+00
              5      0.37E+00  0.16E+01  0.69E+00  0.12E+00
              6      0.34E+00  0.15E+01  0.32E+00  0.13E+00
              7      0.31E+00  0.14E+01  0.12E+00  0.14E+00
              8      0.29E+00  0.13E+01  0.31E-01  0.15E+00
              9      0.27E+00  0.12E+01  0.40E-02  0.16E+00
             10      0.25E+00  0.11E+01  0.34E-03  0.17E+00
             11      0.23E+00  0.98E+00  0.29E-03  0.18E+00
             12      0.21E+00  0.89E+00  0.31E-03  0.19E+00
             13      0.19E+00  0.82E+00  0.31E-03  0.21E+00
             14      0.18E+00  0.75E+00  0.30E-03  0.22E+00
             15      0.16E+00  0.68E+00  0.30E-03  0.24E+00
             16      0.15E+00  0.62E+00  0.32E-03  0.25E+00
             17      0.14E+00  0.57E+00  0.30E-03  0.27E+00
             18      0.12E+00  0.52E+00  0.29E-03  0.29E+00
             19      0.11E+00  0.48E+00  0.29E-03  0.30E+00
             20      0.10E+00  0.44E+00  0.30E-03  0.32E+00

     Power:   33.889    


                         Increment number   2
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.20E+00  0.84E+00  0.29E-03  0.20E+00
              2      0.19E+00  0.81E+00  0.31E-03  0.21E+00
              3      0.17E+00  0.77E+00  0.30E-03  0.22E+00
              4      0.16E+00  0.74E+00  0.28E-03  0.23E+00
              5      0.15E+00  0.70E+00  0.27E-03  0.25E+00
              6      0.14E+00  0.67E+00  0.26E-03  0.26E+00
              7      0.13E+00  0.65E+00  0.26E-03  0.27E+00
              8      0.13E+00  0.62E+00  0.25E-03  0.29E+00
              9      0.12E+00  0.60E+00  0.26E-03  0.30E+00
             10      0.11E+00  0.57E+00  0.26E-03  0.31E+00
             11      0.10E+00  0.55E+00  0.27E-03  0.33E+00
             12      0.96E-01  0.53E+00  0.28E-03  0.34E+00
             13      0.89E-01  0.51E+00  0.30E-03  0.36E+00
             14      0.84E-01  0.49E+00  0.31E-03  0.37E+00
             15      0.78E-01  0.48E+00  0.31E-03  0.39E+00
             16      0.73E-01  0.46E+00  0.31E-03  0.41E+00
             17      0.68E-01  0.44E+00  0.30E-03  0.42E+00
             18      0.64E-01  0.43E+00  0.30E-03  0.44E+00
             19      0.60E-01  0.42E+00  0.30E-03  0.45E+00
             20      0.56E-01  0.40E+00  0.29E-03  0.47E+00

     Power:   47.688    


                         Increment number   3
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.64E-01  0.44E+00  0.17E-03  0.44E+00
              2      0.61E-01  0.43E+00  0.33E-03  0.45E+00
              3      0.59E-01  0.43E+00  0.32E-03  0.46E+00
              4      0.56E-01  0.43E+00  0.30E-03  0.47E+00
              5      0.54E-01  0.42E+00  0.28E-03  0.48E+00
              6      0.52E-01  0.42E+00  0.27E-03  0.49E+00
              7      0.50E-01  0.41E+00  0.26E-03  0.50E+00
              8      0.47E-01  0.41E+00  0.27E-03  0.51E+00
              9      0.45E-01  0.40E+00  0.26E-03  0.52E+00
             10      0.43E-01  0.39E+00  0.26E-03  0.54E+00
             11      0.42E-01  0.38E+00  0.27E-03  0.55E+00
             12      0.40E-01  0.37E+00  0.28E-03  0.56E+00
             13      0.38E-01  0.36E+00  0.29E-03  0.57E+00
             14      0.36E-01  0.36E+00  0.30E-03  0.58E+00
             15      0.35E-01  0.35E+00  0.31E-03  0.59E+00
             16      0.33E-01  0.34E+00  0.33E-03  0.60E+00
             17      0.32E-01  0.33E+00  0.35E-03  0.61E+00
             18      0.30E-01  0.32E+00  0.37E-03  0.62E+00
             19      0.29E-01  0.31E+00  0.39E-03  0.63E+00
             20      0.28E-01  0.30E+00  0.40E-03  0.64E+00

     Power:   62.535    


                         Increment number   4
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.32E-01  0.26E+00  0.48E-03  0.61E+00
              2      0.30E-01  0.25E+00  0.39E-03  0.63E+00
              3      0.28E-01  0.25E+00  0.41E-03  0.64E+00
              4      0.26E-01  0.24E+00  0.40E-03  0.66E+00
              5      0.25E-01  0.23E+00  0.39E-03  0.67E+00
              6      0.23E-01  0.22E+00  0.39E-03  0.68E+00
              7      0.22E-01  0.22E+00  0.38E-03  0.70E+00
              8      0.21E-01  0.21E+00  0.35E-03  0.71E+00
              9      0.19E-01  0.21E+00  0.32E-03  0.72E+00
             10      0.18E-01  0.20E+00  0.30E-03  0.73E+00
             11      0.18E-01  0.19E+00  0.28E-03  0.74E+00
             12      0.17E-01  0.19E+00  0.26E-03  0.75E+00
             13      0.16E-01  0.18E+00  0.24E-03  0.76E+00
             14      0.15E-01  0.18E+00  0.23E-03  0.77E+00
             15      0.15E-01  0.17E+00  0.22E-03  0.77E+00
             16      0.14E-01  0.17E+00  0.20E-03  0.78E+00
             17      0.13E-01  0.16E+00  0.19E-03  0.79E+00
             18      0.13E-01  0.15E+00  0.18E-03  0.80E+00
             19      0.12E-01  0.15E+00  0.18E-03  0.80E+00
